status,Genus,Suggested Chinese genus name,Shared suffix,CBR species count,Example species,Method
accepted,Abroscopus,鹟莺属,鹟莺,3,黄腹鹟莺 (Abroscopus superciliaris); 棕脸鹟莺 (Abroscopus albogularis); 黑脸鹟莺 (Abroscopus schisticeps),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Acanthis,,白腰朱顶雀,1,白腰朱顶雀 (Acanthis flammea),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Accipiter,,雀鹰,1,雀鹰 (Accipiter nisus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Aceros,,棕颈犀鸟,1,棕颈犀鸟 (Aceros nipalensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Acridotheres,,,5,林八哥 (Acridotheres grandis); 八哥 (Acridotheres cristatellus); 白领八哥 (Acridotheres albocinctus); 家八哥 (Acridotheres tristis); 红嘴椋鸟 (Acridotheres burmannicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Acrocephalus,苇莺属,苇莺,12,大苇莺 (Acrocephalus arundinaceus); 东方大苇莺 (Acrocephalus orientalis); 噪大苇莺 (Acrocephalus stentoreus); 黑眉苇莺 (Acrocephalus bistrigiceps); 须苇莺 (Acrocephalus melanopogon); 水蒲苇莺 (Acrocephalus schoenobaenus); 细纹苇莺 (Acrocephalus sorghophilus); 钝翅苇莺 (Acrocephalus concinens),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Actinodura,,鹛,8,纹头斑翅鹛 (Actinodura nipalensis); 台湾斑翅鹛 (Actinodura morrisoniana); 纹胸斑翅鹛 (Actinodura waldeni); 灰头斑翅鹛 (Actinodura souliei); 蓝翅希鹛 (Actinodura cyanouroptera); 斑喉希鹛 (Actinodura strigula); 锈额斑翅鹛 (Actinodura egertoni); 白眶斑翅鹛 (Actinodura ramsayi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Actitis,,矶鹬,1,矶鹬 (Actitis hypoleucos),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Aegithalos,长尾山雀属,长尾山雀,5,北长尾山雀 (Aegithalos caudatus); 银喉长尾山雀 (Aegithalos glaucogularis); 红头长尾山雀 (Aegithalos concinnus); 黑眉长尾山雀 (Aegithalos iouschistos); 银脸长尾山雀 (Aegithalos fuliginosus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Aegithina,雀鹎属,雀鹎,2,黑翅雀鹎 (Aegithina tiphia); 大绿雀鹎 (Aegithina lafresnayei),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Aegolius,,鬼鸮,1,鬼鸮 (Aegolius funereus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Aegypius,,秃鹫,1,秃鹫 (Aegypius monachus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Aerodramus,金丝燕属,金丝燕,2,短嘴金丝燕 (Aerodramus brevirostris); 爪哇金丝燕 (Aerodramus fuciphagus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Aethopyga,太阳鸟属,太阳鸟,6,蓝喉太阳鸟 (Aethopyga gouldiae); 绿喉太阳鸟 (Aethopyga nipalensis); 叉尾太阳鸟 (Aethopyga christinae); 黑胸太阳鸟 (Aethopyga saturata); 黄腰太阳鸟 (Aethopyga siparaja); 火尾太阳鸟 (Aethopyga ignicauda),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Agraphospiza,,赤朱雀,1,赤朱雀 (Agraphospiza rubescens),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Agropsar,椋鸟属,椋鸟,2,北椋鸟 (Agropsar sturninus); 紫背椋鸟 (Agropsar philippensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Aix,,鸳鸯,1,鸳鸯 (Aix galericulata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Alauda,云雀属,云雀,3,白翅云雀 (Alauda leucoptera); 小云雀 (Alauda gulgula); 云雀 (Alauda arvensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Alaudala,短趾百灵属,短趾百灵,2,亚洲短趾百灵 (Alaudala cheleensis); 中亚短趾百灵 (Alaudala heinei),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Alcedo,翠鸟属,翠鸟,3,蓝耳翠鸟 (Alcedo meninting); 普通翠鸟 (Alcedo atthis); 斑头大翠鸟 (Alcedo hercules),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Alcippe,雀鹛属,雀鹛,6,褐脸雀鹛 (Alcippe poioicephala); 台湾雀鹛 (Alcippe morrisonia); 灰眶雀鹛 (Alcippe davidi); 云南雀鹛 (Alcippe fratercula); 淡眉雀鹛 (Alcippe hueti); 白眶雀鹛 (Alcippe nipalensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Alcurus,,纵纹绿鹎,1,纵纹绿鹎 (Alcurus striatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Alectoris,石鸡属,石鸡,2,石鸡 (Alectoris chukar); 大石鸡 (Alectoris magna),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Alophoixus,冠鹎属,冠鹎,2,黄腹冠鹎 (Alophoixus flaveolus); 白喉冠鹎 (Alophoixus pallidus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Amandava,,红梅花雀,1,红梅花雀 (Amandava amandava),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Amaurornis,,白胸苦恶鸟,1,白胸苦恶鸟 (Amaurornis phoenicurus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
