Order,Order Chinese,Family,Family Chinese,Genus,Official Chinese genus name,Original Chinese genus name,Audit status,Audit note,Audit sources,CBR suffix candidate - NOT USED,Candidate basis,CBR checklist species count,Example CBR species
Columbiformes,鸽形目,Columbidae,鸠鸽科,Treron,绿鸠属,绿鸠属,未改动,,,绿鸠属,shared Chinese species-name suffix only; not used in app,9,橙胸绿鸠 (Treron bicinctus); 灰头绿鸠 (Treron phayrei); 厚嘴绿鸠 (Treron curvirostra); 黄脚绿鸠 (Treron phoenicopterus); 白腹针尾绿鸠 (Treron seimundi); 针尾绿鸠 (Treron apicauda); 楔尾绿鸠 (Treron sphenurus); 红翅绿鸠 (Treron sieboldii); 红顶绿鸠 (Treron formosae)
Strigiformes,鸮形目,Strigidae,鸱鸮科,Otus,角鸮属,角鸮属,未改动,,,角鸮属,shared Chinese species-name suffix only; not used in app,7,黄嘴角鸮 (Otus spilocephalus); 领角鸮 (Otus lettia); 北领角鸮 (Otus semitorques); 琉球角鸮 (Otus elegans); 西红角鸮 (Otus scops); 纵纹角鸮 (Otus brucei); 红角鸮 (Otus sunia)
Accipitriformes,鹰形目,Accipitridae,鹰科,Circus,鹞属,鹞属,未改动,,,,,6,草原鹞 (Circus macrourus); 白尾鹞 (Circus cyaneus); 乌灰鹞 (Circus pygargus); 鹊鹞 (Circus melanoleucos); 白头鹞 (Circus aeruginosus); 白腹鹞 (Circus spilonotus)
Passeriformes,雀形目,Nectariniidae,太阳鸟科,Aethopyga,太阳鸟属,太阳鸟属,未改动,,,太阳鸟属,shared Chinese species-name suffix only; not used in app,6,火尾太阳鸟 (Aethopyga ignicauda); 黑胸太阳鸟 (Aethopyga saturata); 蓝喉太阳鸟 (Aethopyga gouldiae); 绿喉太阳鸟 (Aethopyga nipalensis); 黄腰太阳鸟 (Aethopyga siparaja); 叉尾太阳鸟 (Aethopyga christinae)
Pelecaniformes,鹈形目,Ardeidae,鹭科,Ardea,鹭属,鹭属,未改动,,,,,6,大白鹭 (Ardea alba); 中白鹭 (Ardea intermedia); 牛背鹭 (Ardea coromanda); 白腹鹭 (Ardea insignis); 草鹭 (Ardea purpurea); 苍鹭 (Ardea cinerea)
Pelecaniformes,鹈形目,Ardeidae,鹭科,Botaurus,麻鳽属,麻鳽属,未改动,,,,,6,大麻鳽 (Botaurus stellaris); 黑鳽 (Botaurus flavicollis); 栗苇鳽 (Botaurus cinnamomeus); 紫背苇鳽 (Botaurus eurhythmus); 小苇鳽 (Botaurus minutus); 黄苇鳽 (Botaurus sinensis)
Anseriformes,雁形目,Anatidae,鸭科,Branta,黑雁属,黑雁属,未改动,,,黑雁属,shared Chinese species-name suffix only; not used in app,5,黑雁 (Branta bernicla); 红胸黑雁 (Branta ruficollis); 加拿大黑雁 (Branta canadensis); 白颊黑雁 (Branta leucopsis); 小美洲黑雁 (Branta hutchinsii)
Caprimulgiformes,夜鹰目,Caprimulgidae,夜鹰科,Caprimulgus,夜鹰属,夜鹰属,未改动,,,夜鹰属,shared Chinese species-name suffix only; not used in app,5,普通夜鹰 (Caprimulgus jotaka); 欧夜鹰 (Caprimulgus europaeus); 埃及夜鹰 (Caprimulgus aegyptius); 长尾夜鹰 (Caprimulgus macrurus); 林夜鹰 (Caprimulgus affinis)
Passeriformes,雀形目,Muscicapidae,鹟科,Oenanthe,䳭属,䳭属,未改动,,,,,5,漠䳭 (Oenanthe deserti); 白顶䳭 (Oenanthe pleschanka); 穗䳭 (Oenanthe oenanthe); 沙䳭 (Oenanthe isabellina); 东方斑䳭 (Oenanthe picata)
Passeriformes,雀形目,Passeridae,雀科,Passer,麻雀属,麻雀属,未改动,,,麻雀属,shared Chinese species-name suffix only; not used in app,5,山麻雀 (Passer cinnamomeus); 麻雀 (Passer montanus); 黑顶麻雀 (Passer ammodendri); 黑胸麻雀 (Passer hispaniolensis); 家麻雀 (Passer domesticus)
Pelecaniformes,鹈形目,Ardeidae,鹭科,Egretta,白鹭属,白鹭属,未改动,,,,,5,斑鹭 (Egretta picata); 白脸鹭 (Egretta novaehollandiae); 黄嘴白鹭 (Egretta eulophotes); 岩鹭 (Egretta sacra); 白鹭 (Egretta garzetta)
Apodiformes,雨燕目,Apodidae,雨燕科,Apus,雨燕属,雨燕属,未改动,,,雨燕属,shared Chinese species-name suffix only; not used in app,4,暗背雨燕 (Apus acuticauda); 白腰雨燕 (Apus pacificus); 小白腰雨燕 (Apus nipalensis); 普通雨燕 (Apus apus)
Charadriiformes,鸻形目,Stercorariidae,贼鸥科,Stercorarius,贼鸥属,贼鸥属,未改动,,,贼鸥属,shared Chinese species-name suffix only; not used in app,4,短尾贼鸥 (Stercorarius parasiticus); 长尾贼鸥 (Stercorarius longicaudus); 中贼鸥 (Stercorarius pomarinus); 南极贼鸥 (Stercorarius maccormicki)
Gaviiformes,潜鸟目,Gaviidae,潜鸟科,Gavia,潜鸟属,潜鸟属,未改动,,,潜鸟属,shared Chinese species-name suffix only; not used in app,4,红喉潜鸟 (Gavia stellata); 黄嘴潜鸟 (Gavia adamsii); 太平洋潜鸟 (Gavia pacifica); 黑喉潜鸟 (Gavia arctica)
Passeriformes,雀形目,Cettiidae,树莺科,Cettia,树莺属,树莺属,未改动,,,,,4,大树莺 (Cettia major); 棕顶树莺 (Cettia brunnifrons); 栗头地莺 (Cettia castaneocoronata); 宽尾树莺 (Cettia cetti)
Passeriformes,雀形目,Fringillidae,燕雀科,Chloris,金翅雀属,金翅雀属,未改动,,,金翅雀属,shared Chinese species-name suffix only; not used in app,4,欧金翅雀 (Chloris chloris); 金翅雀 (Chloris sinica); 高山金翅雀 (Chloris spinoides); 黑头金翅雀 (Chloris ambigua)
Passeriformes,雀形目,Timaliidae,鹛科,Cyanoderma,穗鹛属,穗鹛属,未改动,,,穗鹛属,shared Chinese species-name suffix only; not used in app,4,金头穗鹛 (Cyanoderma chrysaeum); 红额穗鹛 (Cyanoderma rufifrons); 黑颏穗鹛 (Cyanoderma pyrrhops); 红头穗鹛 (Cyanoderma ruficeps)
Podicipediformes,䴙䴘目,Podicipedidae,䴙䴘科,Podiceps,䴙䴘属,䴙䴘属,未改动,,,䴙䴘属,shared Chinese species-name suffix only; not used in app,4,角䴙䴘 (Podiceps auritus); 赤颈䴙䴘 (Podiceps grisegena); 凤头䴙䴘 (Podiceps cristatus); 黑颈䴙䴘 (Podiceps nigricollis)
Procellariiformes,鹱形目,Procellariidae,鹱科,Ardenna,水薙鸟属,水薙鸟属,未改动,,,,,4,楔尾鹱 (Ardenna pacifica); 短尾鹱 (Ardenna tenuirostris); 灰鹱 (Ardenna grisea); 淡足鹱 (Ardenna carneipes)
Strigiformes,鸮形目,Strigidae,鸱鸮科,Strix,林鸮属,林鸮属,未改动,,,林鸮属,shared Chinese species-name suffix only; not used in app,4,褐林鸮 (Strix leptogrammica); 灰林鸮 (Strix nivicolum); 长尾林鸮 (Strix uralensis); 乌林鸮 (Strix nebulosa)
Anseriformes,雁形目,Anatidae,鸭科,Melanitta,海番鸭属,海番鸭属,未改动,,,海番鸭属,shared Chinese species-name suffix only; not used in app,3,黑海番鸭 (Melanitta americana); 丝绒海番鸭 (Melanitta fusca); 斑脸海番鸭 (Melanitta stejnegeri)
Charadriiformes,鸻形目,Turnicidae,三趾鹑科,Turnix,三趾鹑属,三趾鹑属,未改动,,,三趾鹑属,shared Chinese species-name suffix only; not used in app,3,黄脚三趾鹑 (Turnix tanki); 棕三趾鹑 (Turnix suscitator); 林三趾鹑 (Turnix sylvaticus)
Columbiformes,鸽形目,Columbidae,鸠鸽科,Macropygia,鹃鸠属,鹃鸠属,未改动,,,鹃鸠属,shared Chinese species-name suffix only; not used in app,3,斑尾鹃鸠 (Macropygia unchall); 菲律宾鹃鸠 (Macropygia tenuirostris); 小鹃鸠 (Macropygia ruficeps)
Galliformes,鸡形目,Phasianidae,雉科,Perdix,山鹑属,山鹑属,未改动,,,山鹑属,shared Chinese species-name suffix only; not used in app,3,高原山鹑 (Perdix hodgsoniae); 斑翅山鹑 (Perdix dauurica); 灰山鹑 (Perdix perdix)
Passeriformes,雀形目,Alaudidae,百灵科,Alauda,云雀属,云雀属,未改动,,,云雀属,shared Chinese species-name suffix only; not used in app,3,白翅云雀 (Alauda leucoptera); 小云雀 (Alauda gulgula); 云雀 (Alauda arvensis)
Passeriformes,雀形目,Cettiidae,树莺科,Abroscopus,拟鹟莺属,鹟莺属,已确认修正,“鹟莺属”通常对应 Seicercus；Abroscopus 的属级中文名为“拟鹟莺属”。,中国科学院昆明动物研究所鸟类数据库；懂鸟,鹟莺属,shared Chinese species-name suffix only; not used in app,3,黄腹鹟莺 (Abroscopus superciliaris); 棕脸鹟莺 (Abroscopus albogularis); 黑脸鹟莺 (Abroscopus schisticeps)
Passeriformes,雀形目,Chloropseidae,叶鹎科,Chloropsis,叶鹎属,叶鹎属,未改动,,,叶鹎属,shared Chinese species-name suffix only; not used in app,3,蓝翅叶鹎 (Chloropsis moluccensis); 金额叶鹎 (Chloropsis aurifrons); 黄冠橙腹叶鹎 (Chloropsis hardwickii)
Passeriformes,雀形目,Corvidae,鸦科,Dendrocitta,树鹊属,树鹊属,未改动,,,树鹊属,shared Chinese species-name suffix only; not used in app,3,棕腹树鹊 (Dendrocitta vagabunda); 灰树鹊 (Dendrocitta formosae); 黑额树鹊 (Dendrocitta frontalis)
Passeriformes,雀形目,Dicaeidae,啄花鸟科,Dicaeum,啄花鸟属,啄花鸟属,未改动,,,啄花鸟属,shared Chinese species-name suffix only; not used in app,3,纯色啄花鸟 (Dicaeum minullum); 红胸啄花鸟 (Dicaeum ignipectus); 朱背啄花鸟 (Dicaeum cruentatum)
Passeriformes,雀形目,Dicaeidae,啄花鸟科,Pachyglossa,,,未确认；继续留空,近期恢复/拆分使用的属，未找到稳定、可核实的中文正式属名。,本轮未找到足够一致的正式属级中文名来源,啄花鸟属,shared Chinese species-name suffix only; not used in app,3,厚嘴啄花鸟 (Pachyglossa agilis); 黄臀啄花鸟 (Pachyglossa chrysorrhea); 黄腹啄花鸟 (Pachyglossa melanozantha)
Passeriformes,雀形目,Fringillidae,燕雀科,Leucosticte,岭雀属,岭雀属,未改动,,,岭雀属,shared Chinese species-name suffix only; not used in app,3,林岭雀 (Leucosticte nemoricola); 高山岭雀 (Leucosticte brandti); 粉红腹岭雀 (Leucosticte arctoa)
Passeriformes,雀形目,Hirundinidae,燕科,Hirundo,燕属,燕属,未改动,,,,,3,洋燕 (Hirundo javanica); 线尾燕 (Hirundo smithii); 家燕 (Hirundo rustica)
Passeriformes,雀形目,Hirundinidae,燕科,Riparia,沙燕属,沙燕属,未改动,,,沙燕属,shared Chinese species-name suffix only; not used in app,3,崖沙燕 (Riparia riparia); 淡色沙燕 (Riparia diluta); 灰喉沙燕 (Riparia chinensis)
Passeriformes,雀形目,Muscicapidae,鹟科,Luscinia,歌鸲属,歌鸲属,未改动,,,,,3,新疆歌鸲 (Luscinia megarhynchos); 白腹短翅鸲 (Luscinia phaenicuroides); 蓝喉歌鸲 (Luscinia svecica)
Passeriformes,雀形目,Paridae,山雀科,Parus,山雀属,山雀属,未改动,,,山雀属,shared Chinese species-name suffix only; not used in app,3,绿背山雀 (Parus monticolus); 欧亚大山雀 (Parus major); 大山雀 (Parus cinereus)
Passeriformes,雀形目,Passeridae,雀科,Pyrgilauda,黑喉雪雀属,雪雀属,用户确认后填写,用户复核并确认使用“黑喉雪雀属”。,用户确认,雪雀属,shared Chinese species-name suffix only; not used in app,3,黑喉雪雀 (Pyrgilauda davidiana); 棕颈雪雀 (Pyrgilauda ruficollis); 棕背雪雀 (Pyrgilauda blanfordi)
Passeriformes,雀形目,Pellorneidae,幽鹛科,Napothera,鹪鹛属,鹪鹛属,未改动,,,,,3,纹胸鹪鹛 (Napothera epilepidota); 长嘴鹩鹛 (Napothera malacoptila); 瑙蒙短尾鹛 (Napothera naungmungensis)
Passeriformes,雀形目,Pellorneidae,幽鹛科,Pellorneum,幽鹛属,幽鹛属,未改动,,,,,3,棕头幽鹛 (Pellorneum ruficeps); 白腹幽鹛 (Pellorneum albiventre); 棕胸雅鹛 (Pellorneum tickelli)
Passeriformes,雀形目,Rhipiduridae,扇尾鹟科,Rhipidura,扇尾鹟属,扇尾鹟属,未改动,,,扇尾鹟属,shared Chinese species-name suffix only; not used in app,3,菲律宾斑扇尾鹟 (Rhipidura nigritorquis); 白喉扇尾鹟 (Rhipidura albicollis); 白眉扇尾鹟 (Rhipidura aureola)
Passeriformes,雀形目,Turdidae,鸫科,Geokichla,地鸫属,地鸫属,未改动,,,地鸫属,shared Chinese species-name suffix only; not used in app,3,白眉地鸫 (Geokichla sibirica); 杂色地鸫 (Geokichla wardii); 橙头地鸫 (Geokichla citrina)
Pelecaniformes,鹈形目,Ardeidae,鹭科,Ardeola,池鹭属,池鹭属,未改动,,,池鹭属,shared Chinese species-name suffix only; not used in app,3,印度池鹭 (Ardeola grayii); 池鹭 (Ardeola bacchus); 爪哇池鹭 (Ardeola speciosa)
Pelecaniformes,鹈形目,Pelecanidae,鹈鹕科,Pelecanus,鹈鹕属,鹈鹕属,未改动,,,鹈鹕属,shared Chinese species-name suffix only; not used in app,3,白鹈鹕 (Pelecanus onocrotalus); 斑嘴鹈鹕 (Pelecanus philippensis); 卷羽鹈鹕 (Pelecanus crispus)
Phaethontiformes,鹲形目,Phaethontidae,鹲科,Phaethon,鹲属,鹲属,未改动,,,,,3,红嘴鹲 (Phaethon aethereus); 红尾鹲 (Phaethon rubricauda); 白尾鹲 (Phaethon lepturus)
Piciformes,䴕形目,Picidae,啄木鸟科,Dryobates,林啄木鸟属,林啄木鸟属,未改动,,,啄木鸟属,shared Chinese species-name suffix only; not used in app,3,小斑啄木鸟 (Dryobates minor); 红枕啄木鸟 (Dryobates cathpharius); 赤胸啄木鸟 (Dryobates pernyii)
Procellariiformes,鹱形目,Diomedeidae,信天翁科,Phoebastria,北太平洋信天翁属,北太平洋信天翁属,未改动,,,信天翁属,shared Chinese species-name suffix only; not used in app,3,黑背信天翁 (Phoebastria immutabilis); 黑脚信天翁 (Phoebastria nigripes); 短尾信天翁 (Phoebastria albatrus)
Procellariiformes,鹱形目,Procellariidae,鹱科,Pterodroma,圆尾鹱属,圆尾鹱属,未改动,,,圆尾鹱属,shared Chinese species-name suffix only; not used in app,3,白额圆尾鹱 (Pterodroma hypoleuca); 棕头圆尾鹱 (Pterodroma solandri); 信使圆尾鹱 (Pterodroma heraldica)
Suliformes,鲣鸟目,Sulidae,鲣鸟科,Sula,鲣鸟属,鲣鸟属,未改动,,,鲣鸟属,shared Chinese species-name suffix only; not used in app,3,红脚鲣鸟 (Sula sula); 褐鲣鸟 (Sula leucogaster); 蓝脸鲣鸟 (Sula dactylatra)
Accipitriformes,鹰形目,Accipitridae,鹰科,Aviceda,鹃隼属,鹃隼属,未改动,,,冠鹃隼属,shared Chinese species-name suffix only; not used in app,2,褐冠鹃隼 (Aviceda jerdoni); 黑冠鹃隼 (Aviceda leuphotes)
Accipitriformes,鹰形目,Accipitridae,鹰科,Icthyophaga,渔雕属,渔雕属,未改动,,,,,2,白腹海雕 (Icthyophaga leucogaster); 渔雕 (Icthyophaga humilis)
Accipitriformes,鹰形目,Accipitridae,鹰科,Nisaetus,鹰雕属,鹰雕属,未改动,,,鹰雕属,shared Chinese species-name suffix only; not used in app,2,鹰雕 (Nisaetus nipalensis); 凤头鹰雕 (Nisaetus cirrhatus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Pernis,蜂鹰属,蜂鹰属,未改动,,,头蜂鹰属,shared Chinese species-name suffix only; not used in app,2,鹃头蜂鹰 (Pernis apivorus); 凤头蜂鹰 (Pernis ptilorhynchus)
Anseriformes,雁形目,Anatidae,鸭科,Spatula,匙嘴鸭属,匙嘴鸭属,未改动,,,,,2,白眉鸭 (Spatula querquedula); 琵嘴鸭 (Spatula clypeata)
Apodiformes,雨燕目,Apodidae,雨燕科,Aerodramus,金丝燕属,金丝燕属,未改动,,,金丝燕属,shared Chinese species-name suffix only; not used in app,2,短嘴金丝燕 (Aerodramus brevirostris); 爪哇金丝燕 (Aerodramus fuciphagus)
Charadriiformes,鸻形目,Alcidae,海雀科,Synthliboramphus,扁嘴海雀属,扁嘴海雀属,未改动,,,海雀属,shared Chinese species-name suffix only; not used in app,2,冠海雀 (Synthliboramphus wumizusume); 扁嘴海雀 (Synthliboramphus antiquus)
Charadriiformes,鸻形目,Laridae,鸥科,Anous,玄燕鸥属,玄燕鸥属,未改动,,,玄燕鸥属,shared Chinese species-name suffix only; not used in app,2,白顶玄燕鸥 (Anous stolidus); 玄燕鸥 (Anous minutus)
Charadriiformes,鸻形目,Laridae,鸥科,Leucophaeus,豚鸥属,豚鸥属,未改动,,,,,2,笑鸥 (Leucophaeus atricilla); 弗氏鸥 (Leucophaeus pipixcan)
