status,matchMethod,CBR row,CBR scientific name,CBR Chinese name,CBR English name,AviList scientific name used,AviList English name,candidate scientific names,CBR notes
matched_exact,scientificName,11,Dendrocygna javanica,栗树鸭,Lesser Whistling Duck,Dendrocygna javanica,Lesser Whistling Duck,,
matched_exact,scientificName,12,Branta bernicla,黑雁,Brant Goose,Branta bernicla,Brant Goose,,
matched_exact,scientificName,13,Branta ruficollis,红胸黑雁,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,,
matched_exact,scientificName,14,Branta canadensis,加拿大黑雁,Canada Goose,Branta canadensis,Canada Goose,,
matched_exact,scientificName,15,Branta leucopsis,白颊黑雁,Barnacle Goose,Branta leucopsis,Barnacle Goose,,
matched_exact,scientificName,16,Branta hutchinsii,小美洲黑雁,Cackling Goose,Branta hutchinsii,Cackling Goose,,
matched_exact,scientificName,17,Anser indicus,斑头雁,Bar-headed Goose,Anser indicus,Bar-headed Goose,,
matched_exact,scientificName,18,Anser caerulescens,雪雁,Snow Goose,Anser caerulescens,Snow Goose,,
matched_exact,scientificName,19,Anser anser,灰雁,Greylag Goose,Anser anser,Greylag Goose,,
matched_exact,scientificName,20,Anser cygnoides,鸿雁,Swan Goose,Anser cygnoides,Swan Goose,,IUCN红色名录等级由VU升为EN
matched_exact,scientificName,21,Anser fabalis,豆雁,Taiga Bean Goose,Anser fabalis,Taiga Bean Goose,,
matched_exact,scientificName,22,Anser serrirostris,短嘴豆雁,Tundra Bean Goose,Anser serrirostris,Tundra Bean Goose,,
matched_exact,scientificName,23,Anser albifrons,白额雁,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,,
matched_exact,scientificName,24,Anser erythropus,小白额雁,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,,
matched_exact,scientificName,25,Cygnus olor,疣鼻天鹅,Mute Swan,Cygnus olor,Mute Swan,,
matched_exact,scientificName,26,Cygnus columbianus,小天鹅,Tundra Swan,Cygnus columbianus,Tundra Swan,,
matched_exact,scientificName,27,Cygnus cygnus,大天鹅,Whooper Swan,Cygnus cygnus,Whooper Swan,,
matched_exact,scientificName,28,Sarkidiornis melanotos,瘤鸭,Knob-billed Duck,Sarkidiornis melanotos,Knob-billed Duck,,
matched_exact,scientificName,29,Tadorna tadorna,翘鼻麻鸭,Common Shelduck,Tadorna tadorna,Common Shelduck,,
matched_exact,scientificName,30,Tadorna ferruginea,赤麻鸭,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,,
matched_exact,scientificName,31,Tadorna cristata,冠麻鸭,Crested Shelduck,Tadorna cristata,Crested Shelduck,,
matched_exact,scientificName,32,Asarcornis scutulata,白翅栖鸭,White-winged Duck,Asarcornis scutulata,White-winged Duck,,IUCN红色名录等级由EN升为CR
matched_exact,scientificName,33,Aix galericulata,鸳鸯,Mandarin Duck,Aix galericulata,Mandarin Duck,,
matched_exact,scientificName,34,Nettapus coromandelianus,棉凫,Cotton Pygmy Goose,Nettapus coromandelianus,Cotton Pygmy Goose,,
matched_exact,scientificName,35,Sibirionetta formosa,花脸鸭,Baikal Teal,Sibirionetta formosa,Baikal Teal,,
matched_exact,scientificName,36,Spatula querquedula,白眉鸭,Garganey,Spatula querquedula,Garganey,,
matched_exact,scientificName,37,Spatula clypeata,琵嘴鸭,Northern Shoveler,Spatula clypeata,Northern Shoveler,,
matched_exact,scientificName,38,Mareca strepera,赤膀鸭,Gadwall,Mareca strepera,Gadwall,,
matched_exact,scientificName,39,Mareca falcata,罗纹鸭,Falcated Duck,Mareca falcata,Falcated Duck,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,40,Mareca penelope,赤颈鸭,Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,,
matched_exact,scientificName,41,Mareca americana,绿眉鸭,American Wigeon,Mareca americana,American Wigeon,,
matched_exact,scientificName,42,Anas luzonica,棕颈鸭,Philippine Duck,Anas luzonica,Philippine Duck,,
matched_exact,scientificName,43,Anas poecilorhyncha,印缅斑嘴鸭,Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,,
matched_exact,scientificName,44,Anas zonorhyncha,斑嘴鸭,Chinese Spot-billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,,
matched_exact,scientificName,45,Anas platyrhynchos,绿头鸭,Mallard,Anas platyrhynchos,Mallard,,
matched_exact,scientificName,46,Anas acuta,针尾鸭,Northern Pintail,Anas acuta,Northern Pintail,,
matched_exact,scientificName,47,Anas crecca,绿翅鸭,Eurasian Teal,Anas crecca,Green-winged Teal,,
matched_name_conflict_avilist_taxonomy_used,englishName,48,Anas carolinensis,美洲绿翅鸭,Green-winged Teal,Anas crecca,Green-winged Teal,Anas crecca,
matched_exact,scientificName,49,Marmaronetta angustirostris,云石斑鸭,Marbled Teal,Marmaronetta angustirostris,Marbled Duck,,
matched_exact,scientificName,50,Netta rufina,赤嘴潜鸭,Red-crested Pochard,Netta rufina,Red-crested Pochard,,
matched_exact,scientificName,51,Aythya valisineria,帆背潜鸭,Canvasback,Aythya valisineria,Canvasback,,
matched_exact,scientificName,52,Aythya ferina,红头潜鸭,Common Pochard,Aythya ferina,Common Pochard,,
matched_exact,scientificName,53,Aythya baeri,青头潜鸭,Baer's Pochard,Aythya baeri,Baer's Pochard,,
matched_exact,scientificName,54,Aythya nyroca,白眼潜鸭,Ferruginous Pochard,Aythya nyroca,Ferruginous Duck,,
matched_exact,scientificName,55,Aythya collaris,环颈潜鸭,Ring-necked Duck,Aythya collaris,Ring-necked Duck,,
matched_exact,scientificName,56,Aythya fuligula,凤头潜鸭,Tufted Duck,Aythya fuligula,Tufted Duck,,
matched_exact,scientificName,57,Aythya marila,斑背潜鸭,Greater Scaup,Aythya marila,Greater Scaup,,
matched_exact,scientificName,58,Aythya affinis,小潜鸭,Lesser Scaup,Aythya affinis,Lesser Scaup,,
matched_exact,scientificName,59,Polysticta stelleri,小绒鸭,Steller's Eider,Polysticta stelleri,Steller's Eider,,
matched_exact,scientificName,60,Histrionicus histrionicus,丑鸭,Harlequin Duck,Histrionicus histrionicus,Harlequin Duck,,
matched_exact,scientificName,61,Melanitta fusca,丝绒海番鸭,Velvet Scoter,Melanitta fusca,Velvet Scoter,,
matched_exact,scientificName,62,Melanitta stejnegeri,斑脸海番鸭,Stejneger's Scoter,Melanitta stejnegeri,Stejneger's Scoter,,
matched_exact,scientificName,63,Melanitta americana,黑海番鸭,Black Scoter,Melanitta americana,Black Scoter,,
matched_exact,scientificName,64,Clangula hyemalis,长尾鸭,Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,,
matched_exact,scientificName,65,Bucephala clangula,鹊鸭,Common Goldeneye,Bucephala clangula,Common Goldeneye,,
matched_exact,scientificName,66,Mergellus albellus,斑头秋沙鸭,Smew,Mergellus albellus,Smew,,中文名由白秋沙鸭改为斑头秋沙鸭
matched_exact,scientificName,67,Mergus merganser,普通秋沙鸭,Common Merganser,Mergus merganser,Common Merganser,,
matched_exact,scientificName,68,Mergus serrator,红胸秋沙鸭,Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,,
matched_exact,scientificName,69,Mergus squamatus,中华秋沙鸭,Scaly-sided Merganser,Mergus squamatus,Scaly-sided Merganser,,
matched_exact,scientificName,70,Oxyura leucocephala,白头硬尾鸭,White-headed Duck,Oxyura leucocephala,White-headed Duck,,
matched_exact,scientificName,72,Arborophila torqueola,环颈山鹧鸪,Common Hill Partridge,Arborophila torqueola,Hill Partridge,,
matched_exact,scientificName,73,Arborophila rufipectus,四川山鹧鸪,Sichuan Partridge,Arborophila rufipectus,Sichuan Partridge,,IUCN红色名录等级由EN降为VU
matched_exact,scientificName,74,Arborophila mandellii,红胸山鹧鸪,Chestnut-breasted Partridge,Arborophila mandellii,Chestnut-breasted Partridge,,IUCN红色名录等级由VU降为NT
matched_exact,scientificName,75,Arborophila gingica,白眉山鹧鸪,White-necklaced Partridge,Arborophila gingica,White-necklaced Partridge,,
matched_exact,scientificName,76,Arborophila rufogularis,红喉山鹧鸪,Rufous-throated Partridge,Arborophila rufogularis,Rufous-throated Partridge,,
matched_exact,scientificName,77,Arborophila ardens,海南山鹧鸪,Hainan Partridge,Arborophila ardens,Hainan Partridge,,
matched_exact,scientificName,78,Arborophila crudigularis,台湾山鹧鸪,Taiwan Partridge,Arborophila crudigularis,Taiwan Partridge,,
matched_exact,scientificName,79,Arborophila atrogularis,白颊山鹧鸪,White-cheeked Partridge,Arborophila atrogularis,White-cheeked Partridge,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,80,Arborophila brunneopectus,褐胸山鹧鸪,Bar-backed Partridge,Arborophila brunneopectus,Bar-backed Partridge,,
matched_exact,scientificName,81,Lerwa lerwa,雪鹑,Snow Partridge,Lerwa lerwa,Snow Partridge,,
matched_exact,scientificName,82,Ithaginis cruentus,血雉,Blood Pheasant,Ithaginis cruentus,Blood Pheasant,,
matched_exact,scientificName,83,Tragopan melanocephalus,黑头角雉,Western Tragopan,Tragopan melanocephalus,Western Tragopan,,
matched_exact,scientificName,84,Tragopan satyra,红胸角雉,Satyr Tragopan,Tragopan satyra,Satyr Tragopan,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,85,Tragopan blythii,灰腹角雉,Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,,
matched_exact,scientificName,86,Tragopan temminckii,红腹角雉,Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,,
matched_exact,scientificName,87,Tragopan caboti,黄腹角雉,Cabot's Tragopan,Tragopan caboti,Cabot's Tragopan,,
matched_exact,scientificName,88,Tetraophasis obscurus,红喉雉鹑,Chestnut-throated Monal Partridge,Tetraophasis obscurus,Chestnut-throated Monal-Partridge,,中文名由雉鹑改为红喉雉鹑
matched_exact,scientificName,89,Tetraophasis szechenyii,黄喉雉鹑,Buff-throated Monal Partridge,Tetraophasis szechenyii,Buff-throated Monal-Partridge,,
matched_exact,scientificName,90,Lophophorus impejanus,棕尾虹雉,Himalayan Monal,Lophophorus impejanus,Himalayan Monal,,
matched_exact,scientificName,91,Lophophorus sclateri,白尾梢虹雉,Sclater's Monal,Lophophorus sclateri,Sclater's Monal,,IUCN红色名录等级由VU降为LC
matched_exact,scientificName,92,Lophophorus lhuysii,绿尾虹雉,Chinese Monal,Lophophorus lhuysii,Chinese Monal,,
matched_exact,scientificName,93,Pucrasia macrolopha,勺鸡,Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,,
matched_exact,scientificName,94,Tetrastes bonasia,花尾榛鸡,Hazel Grouse,Tetrastes bonasia,Hazel Grouse,,
matched_exact,scientificName,95,Tetrastes sewerzowi,斑尾榛鸡,Chinese Grouse,Tetrastes sewerzowi,Chinese Grouse,,
matched_exact,scientificName,96,Lagopus lagopus,柳雷鸟,Willow Ptarmigan,Lagopus lagopus,Willow Ptarmigan,,
matched_exact,scientificName,97,Lagopus muta,岩雷鸟,Rock Ptarmigan,Lagopus muta,Rock Ptarmigan,,
matched_exact,scientificName,98,Falcipennis falcipennis,镰翅鸡,Siberian Grouse,Falcipennis falcipennis,Siberian Grouse,,
matched_exact,scientificName,99,Tetrao urogallus,西方松鸡,Western Capercaillie,Tetrao urogallus,Western Capercaillie,,
matched_exact,scientificName,100,Tetrao urogalloides,黑嘴松鸡,Black-billed Capercaillie,Tetrao urogalloides,Black-billed Capercaillie,,
matched_exact,scientificName,101,Lyrurus tetrix,黑琴鸡,Black Grouse,Lyrurus tetrix,Black Grouse,,
matched_exact,scientificName,102,Perdix hodgsoniae,高原山鹑,Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,,
matched_exact,scientificName,103,Perdix perdix,灰山鹑,Grey Partridge,Perdix perdix,Grey Partridge,,
matched_exact,scientificName,104,Perdix dauurica,斑翅山鹑,Daurian Partridge,Perdix dauurica,Daurian Partridge,,
matched_exact,scientificName,105,Syrmaticus reevesii,白冠长尾雉,Reeves's Pheasant,Syrmaticus reevesii,Reeves's Pheasant,,
matched_exact,scientificName,106,Syrmaticus mikado,黑长尾雉,Mikado Pheasant,Syrmaticus mikado,Mikado Pheasant,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,107,Syrmaticus ellioti,白颈长尾雉,Elliot's Pheasant,Syrmaticus ellioti,Elliot's Pheasant,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,108,Syrmaticus humiae,黑颈长尾雉,Mrs. Hume's Pheasant,Syrmaticus humiae,Mrs. Hume's Pheasant,,IUCN红色名录等级由NT升为VU
matched_exact,scientificName,109,Chrysolophus pictus,红腹锦鸡,Golden Pheasant,Chrysolophus pictus,Golden Pheasant,,
matched_exact,scientificName,110,Chrysolophus amherstiae,白腹锦鸡,Lady Amherst's Pheasant,Chrysolophus amherstiae,Lady Amherst's Pheasant,,
matched_exact,scientificName,111,Phasianus colchicus,雉鸡,Common Pheasant,Phasianus colchicus,Common Pheasant,,
matched_exact,scientificName,112,Crossoptilon harmani,藏马鸡,Tibetan Eared Pheasant,Crossoptilon harmani,Tibetan Eared Pheasant,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,113,Crossoptilon crossoptilon,白马鸡,White Eared Pheasant,Crossoptilon crossoptilon,White Eared Pheasant,,IUCN红色名录等级由NT降为LC
matched_exact,scientificName,114,Crossoptilon mantchuricum,褐马鸡,Brown Eared Pheasant,Crossoptilon mantchuricum,Brown Eared Pheasant,,IUCN红色名录等级由VU降为LC
matched_exact,scientificName,115,Crossoptilon auritum,蓝马鸡,Blue Eared Pheasant,Crossoptilon auritum,Blue Eared Pheasant,,
matched_exact,scientificName,116,Lophura swinhoii,蓝腹鹇,Swinhoe's Pheasant,Lophura swinhoii,Swinhoe's Pheasant,,
matched_exact,scientificName,117,Lophura leucomelanos,黑鹇,Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,,
matched_exact,scientificName,118,Lophura nycthemera,白鹇,Silver Pheasant,Lophura nycthemera,Silver Pheasant,,
matched_exact,scientificName,119,Pavo muticus,绿孔雀,Green Peafowl,Pavo muticus,Green Peafowl,,
matched_exact,scientificName,120,Tropicoperdix chloropus,绿脚树鹧鸪,Green-legged Partridge,Tropicoperdix chloropus,Green-legged Partridge,,
matched_exact,scientificName,121,Polyplectron katsumatae,海南孔雀雉,Hainan Peacock Pheasant,Polyplectron katsumatae,Hainan Peacock-Pheasant,,
matched_exact,scientificName,122,Polyplectron bicalcaratum,灰孔雀雉,Grey Peacock Pheasant,Polyplectron bicalcaratum,Grey Peacock-Pheasant,,
matched_exact,scientificName,123,Bambusicola fytchii,棕胸竹鸡,Mountain Bamboo Partridge,Bambusicola fytchii,Mountain Bamboo Partridge,,
matched_exact,scientificName,124,Bambusicola thoracicus,灰胸竹鸡,Chinese Bamboo Partridge,Bambusicola thoracicus,Chinese Bamboo Partridge,,
matched_exact,scientificName,125,Bambusicola sonorivox,台湾竹鸡,Taiwan Bamboo Partridge,Bambusicola sonorivox,Taiwan Bamboo Partridge,,
