status,CBR row,CBR order,Family,Chinese family name,Raw family cell
matched,10,ANSERIFORMES,Anatidae,鸭科,Anatidae (24:60)
matched,71,GALLIFORMES,Phasianidae,雉科,Phasianidae (28:65)
matched,137,GAVIIFORMES,Gaviidae,潜鸟科,Gaviidae (1:4)
matched,142,PROCELLARIIFORMES,Oceanitidae,洋海燕科,Oceanitidae (1:1)
matched,144,PROCELLARIIFORMES,Diomedeidae,信天翁科,Diomedeidae (1:3)
matched,148,PROCELLARIIFORMES,Hydrobatidae,海燕科,Hydrobatidae (1:4)
matched,153,PROCELLARIIFORMES,Procellariidae,鹱科,Procellariidae (7:12)
matched,166,PODICIPEDIFORMES,Podicipedidae,䴙䴘科,Podicipedidae (2:5)
matched,172,PHOENICOPTERIFORMES,Phoenicopteridae,红鹳科,Phoenicopteridae (1:1)
matched,174,PHAETHONTIFORMES,Phaethontidae,鹲科,Phaethontidae (1:3)
matched,178,CICONIIFORMES,Ciconiidae,鹳科,Ciconiidae (4:7)
matched,186,PELECANIFORMES,Threskiornithidae,鹮科,Threskiornithidae (5:6)
matched,193,PELECANIFORMES,Ardeidae,鹭科,Ardeidae (9:26)
matched,220,PELECANIFORMES,Pelecanidae,鹈鹕科,Pelecanidae (1:3)
matched,224,SULIFORMES,Fregatidae,军舰鸟科,Fregatidae (1:3)
matched,228,SULIFORMES,Sulidae,鲣鸟科,Sulidae (1:3)
matched,232,SULIFORMES,Anhingidae,蛇鹈科,Anhingidae (1:1)
matched,234,SULIFORMES,Phalacrocoracidae,鸬鹚科,Phalacrocoracidae (3:6)
matched,241,ACCIPITRIFORMES,Pandionidae,鹗科,Pandionidae (1:1)
matched,243,ACCIPITRIFORMES,Accipitridae,鹰科,Accipitridae (23:54)
matched,298,OTIDIFORMES,Otididae,鸨科,Otididae (3:3)
matched,302,GRUIFORMES,Rallidae,秧鸡科,Rallidae (13:21)
matched,324,GRUIFORMES,Gruidae,鹤科,Gruidae (3:9)
matched,334,CHARADRIIFORMES,Turnicidae,三趾鹑科,Turnicidae (1:3)
matched,338,CHARADRIIFORMES,Burhinidae,石鸻科,Burhinidae (2:2)
matched,341,CHARADRIIFORMES,Haematopodidae,蛎鹬科,Haematopodidae (1:1)
matched,343,CHARADRIIFORMES,Ibidorhynchidae,鹮嘴鹬科,Ibidorhynchidae (1:1)
matched,345,CHARADRIIFORMES,Recurvirostridae,反嘴鹬科,Recurvirostridae (2:3)
matched,349,CHARADRIIFORMES,Charadriidae,鸻科,Charadriidae (3:21)
matched,371,CHARADRIIFORMES,Rostratulidae,彩鹬科,Rostratulidae (1:1)
matched,373,CHARADRIIFORMES,Jacanidae,水雉科,Jacanidae (2:2)
matched,376,CHARADRIIFORMES,Scolopacidae,丘鹬科,Scolopacidae (12:51)
matched,428,CHARADRIIFORMES,Glareolidae,燕鸻科,Glareolidae (1:4)
matched,433,CHARADRIIFORMES,Laridae,鸥科,Laridae (17:44)
matched,478,CHARADRIIFORMES,Stercorariidae,贼鸥科,Stercorariidae (1:4)
matched,483,CHARADRIIFORMES,Alcidae,海雀科,Alcidae (4:5)
matched,489,PTEROCLIFORMES,Pteroclidae,沙鸡科,Pteroclidae (2:3)
matched,493,COLUMBIFORMES,Columbidae,鸠鸽科,Columbidae (9:34)
matched,528,CUCULIFORMES,Cuculidae,杜鹃科,Cuculidae (9:20)
matched,549,STRIGIFORMES,Tytonidae,仓鸮科,Tytonidae (2:3)
matched,553,STRIGIFORMES,Strigidae,鸱鸮科,Strigidae (11:29)
matched,583,PODARGIFORMES,Podargidae,蟆口鸱科,Podargidae (1:1)
matched,585,CAPRIMULGIFORMES,Caprimulgidae,夜鹰科,Caprimulgidae (2:6)
matched,592,APODIFORMES,Hemiprocnidae,树燕科,Hemiprocnidae (1:1)
matched,594,APODIFORMES,Apodidae,雨燕科,Apodidae (5:14)
matched,609,TROGONIFORMES,Trogonidae,咬鹃科,Trogonidae (1:3)
matched,613,CORACIIFORMES,Coraciidae,佛法僧科,Coraciidae (2:3)
matched,617,CORACIIFORMES,Alcedinidae,翠鸟科,Alcedinidae (7:11)
matched,629,CORACIIFORMES,Meropidae,蜂虎科,Meropidae (2:8)
matched,638,BUCEROTIFORMES,Upupidae,戴胜科,Upupidae (1:1)
matched,640,BUCEROTIFORMES,Bucerotidae,犀鸟科,Bucerotidae (5:5)
matched,646,PICIFORMES,Megalaimidae,拟啄木鸟科,Megalaimidae (1:9)
matched,656,PICIFORMES,Indicatoridae,响蜜鴷科,Indicatoridae (1:1)
matched,658,PICIFORMES,Picidae,啄木鸟科,Picidae (17:32)
matched,691,FALCONIFORMES,Falconidae,隼科,Falconidae (2:12)
matched,704,PSITTACIFORMES,Psittacidae,鹦鹉科,Psittacidae (3:9)
matched,714,PASSERIFORMES,Eurylaimidae,阔嘴鸟科,Eurylaimidae (2:3)
matched,718,PASSERIFORMES,Pittidae,八色鸫科,Pittidae (2:9)
matched,728,PASSERIFORMES,Vangidae,钩嘴鵙科,Vangidae (2:2)
matched,731,PASSERIFORMES,Artamidae,燕鵙科,Artamidae (1:1)
matched,733,PASSERIFORMES,Aegithinidae,雀鹎科,Aegithinidae (1:2)
matched,736,PASSERIFORMES,Campephagidae,鹃鵙科,Campephagidae (3:11)
matched,748,PASSERIFORMES,Laniidae,伯劳科,Laniidae (1:15)
matched,764,PASSERIFORMES,Vireonidae,莺雀科,Vireonidae (2:6)
matched,771,PASSERIFORMES,Oriolidae,黄鹂科,Oriolidae (1:7)
matched,779,PASSERIFORMES,Dicruridae,卷尾科,Dicruridae (1:7)
matched,787,PASSERIFORMES,Rhipiduridae,扇尾鹟科,Rhipiduridae (1:3)
matched,791,PASSERIFORMES,Monarchidae,王鹟科,Monarchidae (2:5)
matched,797,PASSERIFORMES,Corvidae,鸦科,Corvidae (13:34)
matched,832,PASSERIFORMES,Bombycillidae,太平鸟科,Bombycillidae (1:2)
matched,835,PASSERIFORMES,Stenostiridae,仙莺科,Stenostiridae (2:2)
matched,838,PASSERIFORMES,Paridae,山雀科,Paridae (12:24)
matched,863,PASSERIFORMES,Remizidae,攀雀科,Remizidae (1:4)
matched,868,PASSERIFORMES,Panuridae,文须雀科,Panuridae (1:1)
matched,870,PASSERIFORMES,Alaudidae,百灵科,Alaudidae (7:17)
matched,888,PASSERIFORMES,Pycnonotidae,鹎科,Pycnonotidae (10:24)
matched,913,PASSERIFORMES,Hirundinidae,燕科,Hirundinidae (6:14)
matched,928,PASSERIFORMES,Pnoepygidae,鳞胸鹪鹛科,Pnoepygidae (1:4)
matched,933,PASSERIFORMES,Cettiidae,树莺科,Cettiidae (8:19)
matched,953,PASSERIFORMES,Aegithalidae,长尾山雀科,Aegithalidae (2:8)
matched,962,PASSERIFORMES,Phylloscopidae,柳莺科,Phylloscopidae (1:51)
matched,1014,PASSERIFORMES,Acrocephalidae,苇莺科,Acrocephalidae (3:16)
matched,1031,PASSERIFORMES,Locustellidae,蝗莺科,Locustellidae (3:18)
matched,1050,PASSERIFORMES,Cisticolidae,扇尾莺科,Cisticolidae (3:12)
matched,1063,PASSERIFORMES,Timaliidae,鹛科,Timaliidae (7:27)
matched,1091,PASSERIFORMES,Pellorneidae,幽鹛科,Pellorneidae (6:17)
unmatched,1109,PASSERIFORMES,Alcippeidae,雀鹛科,Alcippeidae (1:6)
matched,1116,PASSERIFORMES,Leiothrichidae,噪鹛科,Leiothrichidae (12:70)
matched,1187,PASSERIFORMES,Sylviidae,莺鹛科,Sylviidae (2:8)
matched,1196,PASSERIFORMES,Paradoxornithidae,鸦雀科,Paradoxornithidae (15:34)
matched,1231,PASSERIFORMES,Zosteropidae,绣眼鸟科,Zosteropidae (4:14)
matched,1246,PASSERIFORMES,Irenidae,和平鸟科,Irenidae (1:1)
matched,1248,PASSERIFORMES,Regulidae,戴菊科,Regulidae (1:2)
matched,1251,PASSERIFORMES,Elachuridae,丽星鹩鹛科,Elachuridae (1:1)
matched,1253,PASSERIFORMES,Troglodytidae,鹪鹩科,Troglodytidae (1:1)
matched,1255,PASSERIFORMES,Sittidae,䴓科,Sittidae (1:11)
matched,1267,PASSERIFORMES,Tichodromidae,旋壁雀科,Tichodromidae (1:1)
matched,1269,PASSERIFORMES,Certhiidae,旋木雀科,Certhiidae (1:7)
matched,1277,PASSERIFORMES,Sturnidae,椋鸟科,Sturnidae (11:21)
matched,1299,PASSERIFORMES,Turdidae,鸫科,Turdidae (5:40)
matched,1340,PASSERIFORMES,Muscicapidae,鹟科,Muscicapidae (25:112)
matched,1453,PASSERIFORMES,Cinclidae,河乌科,Cinclidae (1:2)
matched,1456,PASSERIFORMES,Chloropseidae,叶鹎科,Chloropseidae (1:4)
matched,1461,PASSERIFORMES,Dicaeidae,啄花鸟科,Dicaeidae (1:6)
matched,1468,PASSERIFORMES,Nectariniidae,太阳鸟科,Nectariniidae (6:13)
matched,1482,PASSERIFORMES,Passeridae,雀科,Passeridae (5:13)
matched,1496,PASSERIFORMES,Ploceidae,织雀科,Ploceidae (1:2)
