Order,Order Chinese,Family,Family English,Suggested Chinese family name,China checklist species count,China genera count,Example China checklist species
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,111,25,棕薮鸲 (Cercotrichas galactotes); 鹊鸲 (Copsychus saularis); 白腰鹊鸲 (Copsychus malabaricus); 灰纹鹟 (Muscicapa griseisticta); 棕尾褐鹟 (Muscicapa ferruginea); 乌鹟 (Muscicapa sibirica)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,76,13,褐脸雀鹛 (Alcippe poioicephala); 白眶雀鹛 (Alcippe nipalensis); 灰眶雀鹛 (Alcippe davidi); 淡眉雀鹛 (Alcippe hueti); 台湾雀鹛 (Alcippe morrisonia); 云南雀鹛 (Alcippe fratercula)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,65,28,环颈山鹧鸪 (Arborophila torqueola); 四川山鹧鸪 (Arborophila rufipectus); 红胸山鹧鸪 (Arborophila mandellii); 白眉山鹧鸪 (Arborophila gingica); 红喉山鹧鸪 (Arborophila rufogularis); 海南山鹧鸪 (Arborophila ardens)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,62,22,燕雀 (Fringilla montifringilla); 苍头燕雀 (Fringilla coelebs); 黄颈拟蜡嘴雀 (Mycerobas affinis); 白点翅拟蜡嘴雀 (Mycerobas melanozanthos); 白斑翅拟蜡嘴雀 (Mycerobas carnipes); 锡嘴雀 (Coccothraustes coccothraustes)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,59,24,栗树鸭 (Dendrocygna javanica); 棉凫 (Nettapus coromandelianus); 白头硬尾鸭 (Oxyura leucocephala); 疣鼻天鹅 (Cygnus olor); 小天鹅 (Cygnus columbianus); 大天鹅 (Cygnus cygnus)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,51,12,小杓鹬 (Numenius minutus); 中杓鹬 (Numenius phaeopus); 大杓鹬 (Numenius madagascariensis); 白腰杓鹬 (Numenius arquata); 斑尾塍鹬 (Limosa lapponica); 黑尾塍鹬 (Limosa limosa)
Passeriformes,雀形目,Phylloscopidae,Leaf Warblers,,50,1,林柳莺 (Phylloscopus sibilatrix); 橙斑翅柳莺 (Phylloscopus pulcher); 灰喉柳莺 (Phylloscopus maculipennis); 黄眉柳莺 (Phylloscopus inornatus); 淡眉柳莺 (Phylloscopus humei); 云南柳莺 (Phylloscopus yunnanensis)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,44,18,白燕鸥 (Gygis alba); 白顶玄燕鸥 (Anous stolidus); 玄燕鸥 (Anous minutus); 白腰燕鸥 (Onychoprion aleuticus); 乌燕鸥 (Onychoprion fuscatus); 褐翅燕鸥 (Onychoprion anaethetus)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,40,5,蓝大翅鸲 (Grandala coelicolor); 长尾地鸫 (Zoothera dixoni); 淡背地鸫 (Zoothera mollissima); 喜山淡背地鸫 (Zoothera salimalii); 四川淡背地鸫 (Zoothera griseiceps); 长嘴地鸫 (Zoothera marginata)
Columbiformes,鸽形目,Columbidae,Doves and Pigeons,,34,9,斑尾鹃鸠 (Macropygia unchall); 菲律宾鹃鸠 (Macropygia tenuirostris); 小鹃鸠 (Macropygia ruficeps); 珠颈斑鸠 (Spilopelia chinensis); 棕斑鸠 (Spilopelia senegalensis); 火斑鸠 (Streptopelia tranquebarica)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,34,8,火尾绿鹛 (Myzornis pyrrhoura); 宝兴鹛雀 (Moupinia poecilotis); 金胸雀鹛 (Lioparus chrysotis); 金眼鹛雀 (Chrysomma sinense); 山鹛 (Rhopophilus pekinensis); 西域山鹛 (Rhopophilus albosuperciliaris)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,32,13,黄嘴山鸦 (Pyrrhocorax graculus); 红嘴山鸦 (Pyrrhocorax pyrrhocorax); 塔尾树鹊 (Temnurus temnurus); 棕腹树鹊 (Dendrocitta vagabunda); 灰树鹊 (Dendrocitta formosae); 黑额树鹊 (Dendrocitta frontalis)
Piciformes,䴕形目,Picidae,Woodpeckers,,32,17,蚁䴕 (Jynx torquilla); 斑姬啄木鸟 (Picumnus innominatus); 白眉棕啄木鸟 (Sasia ochracea); 栗啄木鸟 (Micropternus brachyurus); 竹啄木鸟 (Gecinulus grantia); 金背三趾啄木鸟 (Dinopium javanense)
Passeriformes,雀形目,Emberizidae,Old World Buntings,,30,1,蓝鹀 (Emberiza siemsseni); 黄喉鹀 (Emberiza elegans); 红颈苇鹀 (Emberiza yessoensis); 苇鹀 (Emberiza pallasi); 芦鹀 (Emberiza schoeniclus); 黄眉鹀 (Emberiza chrysophrys)
Strigiformes,鸮形目,Strigidae,Owls,,29,11,鹰鸮 (Ninox scutulata); 北鹰鸮 (Ninox japonica); 领鸺鹠 (Taenioptynx brodiei); 鬼鸮 (Aegolius funereus); 纵纹腹小鸮 (Athene noctua); 横斑腹小鸮 (Athene brama)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,27,7,红顶鹛 (Timalia pileata); 纹胸鹛 (Mixornis gularis); 金头穗鹛 (Cyanoderma chrysaeum); 红额穗鹛 (Cyanoderma rufifrons); 黑颏穗鹛 (Cyanoderma pyrrhops); 红头穗鹛 (Cyanoderma ruficeps)
Pelecaniformes,鹈形目,Ardeidae,"Herons, Egrets, and Bitterns",,26,8,大麻鳽 (Botaurus stellaris); 黑鳽 (Botaurus flavicollis); 栗苇鳽 (Botaurus cinnamomeus); 紫背苇鳽 (Botaurus eurhythmus); 小苇鳽 (Botaurus minutus); 黄苇鳽 (Botaurus sinensis)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,24,11,火冠雀 (Cephalopyrus flammiceps); 黄眉林雀 (Sylviparus modestus); 冕雀 (Melanochlora sultanea); 灰蓝山雀 (Cyanistes cyanus); 地山雀 (Pseudopodoces humilis); 绿背山雀 (Parus monticolus)
Passeriformes,雀形目,Pycnonotidae,Bulbuls,,24,10,黑头鹎 (Microtarsus melanocephalos); 黑冠黄鹎 (Rubigula flaviventris); 领雀嘴鹎 (Spizixos semitorques); 凤头雀嘴鹎 (Spizixos canifrons); 纹喉鹎 (Pycnonotus finlaysoni); 条耳鹎 (Pycnonotus conradi)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,21,6,灰斑鸻 (Pluvialis squatarola); 欧金鸻 (Pluvialis apricaria); 美洲金鸻 (Pluvialis dominica); 金斑鸻 (Pluvialis fulva); 小嘴鸻 (Eudromias morinellus); 剑鸻 (Charadrius hiaticula)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,21,3,山鹡鸰 (Dendronanthus indicus); 灰鹡鸰 (Motacilla cinerea); 西黄鹡鸰 (Motacilla flava); 黄头鹡鸰 (Motacilla citreola); 黄鹡鸰 (Motacilla tschutschensis); 大斑鹡鸰 (Motacilla maderaspatensis)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,21,11,金冠树八哥 (Ampeliceps coronatus); 鹩哥 (Gracula religiosa); 亚洲辉椋鸟 (Aplonis panayensis); 紫翅椋鸟 (Sturnus vulgaris); 粉红椋鸟 (Pastor roseus); 北椋鸟 (Agropsar sturninus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,20,9,褐翅鸦鹃 (Centropus sinensis); 小鸦鹃 (Centropus bengalensis); 绿嘴地鹃 (Phaenicophaeus tristis); 红翅凤头鹃 (Clamator coromandus); 斑翅凤头鹃 (Clamator jacobinus); 噪鹃 (Eudynamys scolopaceus)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,19,12,西方秧鸡 (Rallus aquaticus); 普通秧鸡 (Rallus indicus); 长脚秧鸡 (Crex crex); 灰胸秧鸡 (Lewinia striata); 斑胸田鸡 (Porzana porzana); 黑水鸡 (Gallinula chloropus)
Passeriformes,雀形目,Cettiidae,Bush Warblers and Allies,,19,8,淡脚树莺 (Hemitesia pallidipes); 鳞头树莺 (Urosphena squameiceps); 灰腹地莺 (Tesia cyaniventer); 金冠地莺 (Tesia olivea); 大树莺 (Cettia major); 棕顶树莺 (Cettia brunnifrons)
Passeriformes,雀形目,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",,18,3,苍眉蝗莺 (Helopsaltes fasciolatus); 库页岛蝗莺 (Helopsaltes amnicola); 斑背大尾莺 (Helopsaltes pryeri); 东亚蝗莺 (Helopsaltes pleskei); 北蝗莺 (Helopsaltes ochotensis); 小蝗莺 (Helopsaltes certhiola)
Passeriformes,雀形目,Pellorneidae,Ground Babblers and Allies,,17,6,中华草鹛 (Graminicola striatus); 白头鵙鹛 (Gampsorhynchus rufulus); 领鵙鹛 (Gampsorhynchus torquatus); 黄喉雀鹛 (Schoeniparus cinereus); 栗头雀鹛 (Schoeniparus castaneceps); 金额雀鹛 (Schoeniparus variegaticeps)
Passeriformes,雀形目,Acrocephalidae,Reed Warblers and Allies,,16,3,厚嘴苇莺 (Arundinax aedon); 靴篱莺 (Iduna caligata); 赛氏篱莺 (Iduna rama); 草绿篱莺 (Iduna pallida); 水蒲苇莺 (Acrocephalus schoenobaenus); 黑眉苇莺 (Acrocephalus bistrigiceps)
Passeriformes,雀形目,Alaudidae,Larks,,16,7,歌百灵 (Mirafra javanica); 白翅云雀 (Alauda leucoptera); 小云雀 (Alauda gulgula); 云雀 (Alauda arvensis); 凤头百灵 (Galerida cristata); 角百灵 (Eremophila alpestris)
Passeriformes,雀形目,Laniidae,Shrikes,,15,1,西方灰伯劳 (Lanius excubitor); 楔尾伯劳 (Lanius sphenocercus); 青藏楔尾伯劳 (Lanius giganteus); 灰伯劳 (Lanius borealis); 黑额伯劳 (Lanius minor); 虎纹伯劳 (Lanius tigrinus)
Passeriformes,雀形目,Zosteropidae,"White-eyes, Yuhinas, and Allies",,14,4,白领凤鹛 (Parayuhina diademata); 栗耳凤鹛 (Staphida castaniceps); 栗颈凤鹛 (Staphida torqueola); 黑颏凤鹛 (Yuhina nigrimenta); 褐头凤鹛 (Yuhina brunneiceps); 黄颈凤鹛 (Yuhina flavicollis)
Passeriformes,雀形目,Passeridae,Snowfinches and Old World Sparrows,,13,5,石雀 (Petronia petronia); 白斑翅雪雀 (Montifringilla nivalis); 藏雪雀 (Montifringilla henrici); 褐翅雪雀 (Montifringilla adamsi); 白腰雪雀 (Onychostruthus taczanowskii); 黑喉雪雀 (Pyrgilauda davidiana)
Passeriformes,雀形目,Cisticolidae,Cisticolas and Allies,,12,3,长尾缝叶莺 (Orthotomus sutorius); 黑喉缝叶莺 (Orthotomus atrogularis); 喜山山鹪莺 (Prinia crinigera); 山鹪莺 (Prinia striata); 黑胸山鹪莺 (Prinia atrogularis); 黑喉山鹪莺 (Prinia superciliaris)
Procellariiformes,鹱形目,Procellariidae,"Petrels, Shearwaters, and Diving Petrels",,12,7,暴雪鹱 (Fulmarus glacialis); 褐燕鹱 (Bulweria bulwerii); 钩嘴圆尾鹱 (Pseudobulweria rostrata); 白额鹱 (Calonectris leucomelas); 楔尾鹱 (Ardenna pacifica); 短尾鹱 (Ardenna tenuirostris)
Coraciiformes,佛法僧目,Alcedinidae,Kingfishers,,11,7,斑头大翠鸟 (Alcedo hercules); 蓝耳翠鸟 (Alcedo meninting); 普通翠鸟 (Alcedo atthis); 三趾翠鸟 (Ceyx erithaca); 冠鱼狗 (Megaceryle lugubris); 斑鱼狗 (Ceryle rudis)
Passeriformes,雀形目,Campephagidae,Cuckooshrikes,,11,3,灰喉山椒鸟 (Pericrocotus solaris); 短嘴山椒鸟 (Pericrocotus brevirostris); 长尾山椒鸟 (Pericrocotus ethologus); 赤红山椒鸟 (Pericrocotus flammeus); 琉球山椒鸟 (Pericrocotus tegimae); 灰山椒鸟 (Pericrocotus divaricatus)
Passeriformes,雀形目,Sittidae,Nuthatches,,11,1,白脸䴓 (Sitta przewalskii); 巨䴓 (Sitta magna); 丽䴓 (Sitta formosa); 绒额䴓 (Sitta frontalis); 淡紫䴓 (Sitta solangiae); 滇䴓 (Sitta yunnanensis)
Gruiformes,鹤形目,Gruidae,Cranes,,9,3,白鹤 (Leucogeranus leucogeranus); 沙丘鹤 (Antigone canadensis); 白枕鹤 (Antigone vipio); 赤颈鹤 (Antigone antigone); 蓑羽鹤 (Grus virgo); 丹顶鹤 (Grus japonensis)
