Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Passeriformes,雀形目,Phylloscopidae,Leaf Warblers,,Phylloscopus,,18,黄眉柳莺 (Phylloscopus inornatus); 云南柳莺 (Phylloscopus yunnanensis); 黄腰柳莺 (Phylloscopus proregulus); 甘肃柳莺 (Phylloscopus kansuensis); 四川柳莺 (Phylloscopus forresti)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Turdus,,14,宝兴歌鸫 (Turdus mupinensis); 棕背黑头鸫 (Turdus kessleri); 藏乌鸫 (Turdus maximus); 白颈鸫 (Turdus albocinctus); 赤颈鸫 (Turdus ruficollis)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Carpodacus,,11,血雀 (Carpodacus sipahi); 红腰朱雀 (Carpodacus rhodochlamys); 中华朱雀 (Carpodacus davidianus); 玫红眉朱雀 (Carpodacus rodochroa); 点翅朱雀 (Carpodacus verreauxii)
Passeriformes,雀形目,Emberizidae,Old World Buntings,,Emberiza,,10,蓝鹀 (Emberiza siemsseni); 黄眉鹀 (Emberiza chrysophrys); 白眉鹀 (Emberiza tristrami); 栗鹀 (Emberiza rutila); 小鹀 (Emberiza pusilla)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Arborophila,,5,四川山鹧鸪 (Arborophila rufipectus); 红胸山鹧鸪 (Arborophila mandellii); 海南山鹧鸪 (Arborophila ardens); 台湾山鹧鸪 (Arborophila crudigularis); 白颊山鹧鸪 (Arborophila atrogularis)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Pterorhinus,,5,栗颈噪鹛 (Pterorhinus ruficollis); 黑脸噪鹛 (Pterorhinus perspicillatus); 台湾白喉噪鹛 (Pterorhinus ruficeps); 棕噪鹛 (Pterorhinus berthemyi); 台湾棕噪鹛 (Pterorhinus poecilorhynchus)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Trochalopteron,,5,蓝翅噪鹛 (Trochalopteron squamatum); 丽星噪鹛 (Trochalopteron imbricatum); 玉山噪鹛 (Trochalopteron morrisonianum); 灰腹噪鹛 (Trochalopteron henrici); 橙翅噪鹛 (Trochalopteron elliotii)
Passeriformes,雀形目,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",,Locustella,,5,棕褐短翅蝗莺 (Locustella luteoventris); 中华短翅蝗莺 (Locustella tacsanowskia); 斑胸短翅蝗莺 (Locustella thoracica); 台湾短翅蝗莺 (Locustella alishanensis); 四川短翅蝗莺 (Locustella chengi)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Anthus,,5,山鹨 (Anthus sylvanus); 布氏鹨 (Anthus godlewskii); 平原鹨 (Anthus campestris); 理氏鹨 (Anthus richardi); 粉红胸鹨 (Anthus roseatus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Tarsiger,,5,红胁蓝尾鸲 (Tarsiger cyanurus); 祁连山蓝尾鸲 (Tarsiger albocoeruleus); 棕腹林鸲 (Tarsiger hyperythrus); 台湾白眉林鸲 (Tarsiger formosanus); 台湾林鸲 (Tarsiger johnstoniae)
Passeriformes,雀形目,Sittidae,Nuthatches,,Sitta,,5,白脸䴓 (Sitta przewalskii); 丽䴓 (Sitta formosa); 滇䴓 (Sitta yunnanensis); 白尾䴓 (Sitta himalayensis); 缅甸䴓 (Sitta neglecta)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Acridotheres,,5,红嘴椋鸟 (Acridotheres burmannicus); 红胸八哥 (Acridotheres leucocephalus); 白领八哥 (Acridotheres albocinctus); 林八哥 (Acridotheres grandis); 爪哇八哥 (Acridotheres javanicus)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Zoothera,,5,长尾地鸫 (Zoothera dixoni); 淡背地鸫 (Zoothera mollissima); 喜山淡背地鸫 (Zoothera salimalii); 四川淡背地鸫 (Zoothera griseiceps); 长嘴地鸫 (Zoothera marginata)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Vanellus,,4,凤头麦鸡 (Vanellus vanellus); 距翅麦鸡 (Vanellus duvaucelii); 灰头麦鸡 (Vanellus cinereus); 黄颊麦鸡 (Vanellus gregarius)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Larus,,4,黑尾鸥 (Larus crassirostris); 西伯利亚银鸥 (Larus vegae); 蒙古银鸥 (Larus mongolicus); 灰背鸥 (Larus schistisagus)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Calidris,,4,大滨鹬 (Calidris tenuirostris); 弯嘴滨鹬 (Calidris ferruginea); 勺嘴鹬 (Calidris pygmaea); 青脚滨鹬 (Calidris temminckii)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Tringa,,4,白腰草鹬 (Tringa ochropus); 泽鹬 (Tringa stagnatilis); 林鹬 (Tringa glareola); 鹤鹬 (Tringa erythropus)
Columbiformes,鸽形目,Columbidae,Doves and Pigeons,,Columba,,4,灰林鸽 (Columba pulchricollis); 紫林鸽 (Columba punicea); 点斑林鸽 (Columba hodgsonii); 中亚鸽 (Columba eversmanni)
Passeriformes,雀形目,Acrocephalidae,Reed Warblers and Allies,,Acrocephalus,,4,黑眉苇莺 (Acrocephalus bistrigiceps); 细纹苇莺 (Acrocephalus sorghophilus); 远东苇莺 (Acrocephalus tangorum); 东方大苇莺 (Acrocephalus orientalis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Brachypteryx,,4,锈腹短翅鸫 (Brachypteryx hyperythra); 喜山短翅鸫 (Brachypteryx cruralis); 中华短翅鸫 (Brachypteryx sinensis); 台湾短翅鸫 (Brachypteryx goodfellowi)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Ficedula,,4,绿背姬鹟 (Ficedula elisae); 琉球姬鹟 (Ficedula owstoni); 鸲姬鹟 (Ficedula mugimaki); 锈胸蓝姬鹟 (Ficedula erithacus)
