Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,Species count in AviList sample,China range keyword species count,Example species
Passeriformes,雀形目,Phylloscopidae,Leaf Warblers,,Phylloscopus,,80,18,林柳莺 (Phylloscopus sibilatrix); 博氏柳莺 (Phylloscopus bonelli); 东博氏柳莺 (Phylloscopus orientalis)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Turdus,,105,14,宝兴歌鸫 (Turdus mupinensis); 埃塞地鸫 (Turdus simensis); 非洲地鸫 (Turdus litsitsirupa)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Carpodacus,,27,11,血雀 (Carpodacus sipahi); 普通朱雀 (Carpodacus erythrinus); 笠原腊嘴雀 (Carpodacus ferreorostris)
Passeriformes,雀形目,Emberizidae,Old World Buntings,,Emberiza,,44,10,白眉黄腹鹀 (Emberiza cabanisi); 金胸鹀 (Emberiza flaviventris); 索马里鹀 (Emberiza poliopleura)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Arborophila,,18,5,环颈山鹧鸪 (Arborophila torqueola); 四川山鹧鸪 (Arborophila rufipectus); 红胸山鹧鸪 (Arborophila mandellii)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Pterorhinus,,23,5,灰胸噪鹛 (Pterorhinus delesserti); 棕臀噪鹛 (Pterorhinus gularis); 白脸噪鹛 (Pterorhinus vassali)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Trochalopteron,,19,5,纯色噪鹛 (Trochalopteron subunicolor); 褐顶噪鹛 (Trochalopteron austeni); 蓝翅噪鹛 (Trochalopteron squamatum)
Passeriformes,雀形目,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",,Locustella,,23,5,矛斑蝗莺 (Locustella lanceolata); 竹短翅莺 (Locustella alfredi); 河蝗莺 (Locustella fluviatilis)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Anthus,,46,5,山鹨 (Anthus sylvanus); 布氏鹨 (Anthus godlewskii); 山地鹨 (Anthus hoeschi)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Tarsiger,,8,5,红胁蓝尾鸲 (Tarsiger cyanurus); 祁连山蓝尾鸲 (Tarsiger albocoeruleus); 蓝眉林鸲 (Tarsiger rufilatus)
Passeriformes,雀形目,Sittidae,Nuthatches,,Sitta,,29,5,喜山䴓 (Sitta leucopsis); 白脸䴓 (Sitta przewalskii); 巨䴓 (Sitta magna)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Acridotheres,,11,5,灰背岸八哥 (Acridotheres ginginianus); 家八哥 (Acridotheres tristis); 黑翅椋鸟 (Acridotheres melanopterus)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Zoothera,,22,5,长尾地鸫 (Zoothera dixoni); 淡背地鸫 (Zoothera mollissima); 喜山淡背地鸫 (Zoothera salimalii)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Vanellus,,23,4,凤头麦鸡 (Vanellus vanellus); 长趾麦鸡 (Vanellus crassirostris); 黑背麦鸡 (Vanellus armatus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Larus,,25,4,太平洋鸥 (Larus pacificus); 斑尾鸥 (Larus belcheri); 黑尾鸥 (Larus crassirostris)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Calidris,,24,4,红腹滨鹬 (Calidris canutus); 短嘴鹬 (Calidris virgata); 大滨鹬 (Calidris tenuirostris)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Tringa,,13,4,白腰草鹬 (Tringa ochropus); 褐腰草鹬 (Tringa solitaria); 漂鹬 (Tringa incana)
Columbiformes,鸽形目,Columbidae,Doves and Pigeons,,Columba,,34,4,德氏鸽 (Columba delegorguei); 圣多美鸽 (Columba malherbii); 铜颈鸽 (Columba iriditorques)
Passeriformes,雀形目,Acrocephalidae,Reed Warblers and Allies,,Acrocephalus,,42,4,水蒲苇莺 (Acrocephalus schoenobaenus); 黑眉苇莺 (Acrocephalus bistrigiceps); 细纹苇莺 (Acrocephalus sorghophilus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Brachypteryx,,10,4,锈腹短翅鸫 (Brachypteryx hyperythra); 白喉短翅鸫 (Brachypteryx leucophris); 喜山短翅鸫 (Brachypteryx cruralis)
